row_number,gene_symbol,missing_values,missing_percent,is_duplicate_gene_symbol
643,AMZ2P1,0,0.0,False
644,ANAPC10,0,0.0,False
645,ANAPC11,0,0.0,False
646,ANAPC13,0,0.0,False
647,ANAPC16,0,0.0,False
648,ANAPC1,0,0.0,False
649,ANAPC2,0,0.0,False
650,ANAPC4,0,0.0,False
651,ANAPC5,0,0.0,False
652,ANAPC7,0,0.0,False
653,ANG,0,0.0,False
654,ANGEL1,0,0.0,False
655,ANGEL2,0,0.0,False
656,ANGPT1,0,0.0,False
657,ANGPT2,0,0.0,False
658,ANGPT4,0,0.0,False
659,ANGPTL1,0,0.0,False
660,ANGPTL2,0,0.0,False
661,ANGPTL3,0,0.0,False
662,ANGPTL4,0,0.0,False
663,ANGPTL5,0,0.0,False
664,ANGPTL6,0,0.0,False
665,ANGPTL7,0,0.0,False
666,ANK1,0,0.0,False
667,ANK2,0,0.0,False
668,ANK3,0,0.0,False
669,ANKAR,0,0.0,False
670,ANKDD1A,0,0.0,False
671,ANKFN1,0,0.0,False
672,ANKFY1,0,0.0,False
673,ANKH,0,0.0,False
674,ANKHD1,0,0.0,False
675,ANKHD1-EIF4EBP3,0,0.0,False
676,ANKIB1,0,0.0,False
677,ANKK1,0,0.0,False
678,ANKLE1,0,0.0,False
679,ANKLE2,0,0.0,False
680,ANKMY1,0,0.0,False
681,ANKMY2,0,0.0,False
682,ANKRA2,0,0.0,False
683,ANKRD10,0,0.0,False
684,ANKRD11,0,0.0,False
685,ANKRD12,0,0.0,False
686,ANKRD1,0,0.0,False
687,ANKRD13A,0,0.0,False
688,ANKRD13B,0,0.0,False
689,ANKRD13C,0,0.0,False
690,ANKRD13D,0,0.0,False
691,ANKRD16,0,0.0,False
692,ANKRD17,0,0.0,False
693,ANKRD19,0,0.0,False
694,ANKRD20A3,0,0.0,False
695,ANKRD20A4,0,0.0,False
696,ANKRD20B,0,0.0,False
697,ANKRD22,0,0.0,False
698,ANKRD2,0,0.0,False
699,ANKRD23,0,0.0,False
700,ANKRD24,0,0.0,False
701,ANKRD26,0,0.0,False
702,ANKRD26P1,0,0.0,False
703,ANKRD27,0,0.0,False
704,ANKRD28,0,0.0,False
705,ANKRD29,0,0.0,False
706,ANKRD30A,0,0.0,False
707,ANKRD30B,0,0.0,False
